task_id,task_file,success,is_correct,accuracy,execution_time,detected_transformations,action_used,error_message,num_train_examples,num_test_examples,grid_size,primary_transformation,transformation_confidence,transformation_params,was_fallback_used,llm_proposed_action,fallback_reason,batch_id,model,batch_timestamp,program_version,timing_total,timing_llm_response,timing_detection,timing_action_execution,complexity_mode,complexity_num_colors,complexity_num_objects
task_add_border,data/task_add_border.json,True,True,1.0,6.636166334152222,"['add_border', 'add_border', 'add_border']",color_change,,3,1,7x8,add_border,1.0,"{'color_filter': 2, 'border_color': 1}",True,color_change,direct_add_border,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,6.636,6.397,0.0,0.001,single,1,0
task_blob_color_change,data/task_blob_color_change.json,True,True,1.0,4.978904962539673,"['color_change', 'color_change']",color_change,,2,1,8x8,color_change,1.0,"{'color_map': {'0': 0, '2': 1}, 'changes': {'2': 1}}",False,color_change,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,4.979,4.97,0.001,0.0,single,1,0
task_blob_reflection,data/task_blob_reflection.json,True,True,1.0,4.9333860874176025,"['reflection', 'rotation', 'reflection', 'rotation']",reflect,,2,1,8x8,reflection,1.0,"{'axis': 'vertical', 'per_object': True, 'color': 2}",False,reflect,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,4.933,4.925,0.0,0.003,single,1,0
task_blob_rotation,data/task_blob_rotation.json,True,True,1.0,4.936359882354736,"['rotation', 'rotation']",rotate,,2,1,8x8,rotation,1.0,"{'angle': 90, 'per_object': True, 'color': 2}",False,rotate,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,4.936,4.927,0.001,0.001,single,1,0
task_blob_translation,data/task_blob_translation.json,True,True,1.0,6.420048236846924,"['translation', 'translation']",translate,,2,1,10x10,translation,1.0,"{'dx': 2, 'dy': 1}",False,translate,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,6.42,6.408,0.001,0.003,single,1,0
task_challenge_multi_transform,data/task_challenge_multi_transform.json,True,True,1.0,13.59110689163208,[],,,2,1,10x12,,0.0,{},False,,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,13.591,0.0,0.0,0.0,single,3,0
task_color_change,data/task_color_change.json,True,False,0.9375,7.934978008270264,"['composite', 'color_change', 'rotation', 'composite', 'color_change', 'rotation']",color_change,,2,1,8x8,composite,1.0,"{'transformations': [{'action': 'rotate', 'params': {'angle': 90}}, {'action': 'translate', 'params': {'dx': 0, 'dy': 0}}, {'action': 'color_change', 'params': {'from_color': 2, 'to_color': 1}}], 'description': 'rotate 90° + translate (0, 0) + color 2→1'}",True,color_change,direct_composite,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,7.935,7.928,0.002,0.0,single,1,0
task_composite_rotate_translate,data/task_composite_rotate_translate.json,True,True,1.0,4.2533278465271,"['composite', 'rotation', 'composite', 'rotation']",translate,,2,1,7x7,composite,1.0,"{'transformations': [{'action': 'rotate', 'params': {'angle': 90}}, {'action': 'translate', 'params': {'dx': 3, 'dy': 1}}], 'description': 'rotate 90° + translate (3, 1)'}",True,translate,direct_composite,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,4.253,4.24,0.002,0.001,single,1,0
task_draw_line,data/task_draw_line.json,True,True,1.0,9.70226502418518,"['draw_line', 'draw_line', 'draw_line']",draw_line,,3,1,10x10,draw_line,1.0,"{'color': 2, 'point1': {'row': 2, 'col': 1}, 'point2': {'row': 2, 'col': 7}, 'line_type': 'horizontal'}",False,draw_line,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,9.702,9.695,0.0,0.0,single,1,0
task_l_shape,data/task_l_shape.json,True,True,1.0,6.422989130020142,"['translation', 'translation']",translate,,2,1,10x10,translation,1.0,"{'dx': 2, 'dy': 2}",False,translate,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,6.423,6.413,0.001,0.0,single,1,0
task_multi_objects,data/task_multi_objects.json,True,True,1.0,9.651095867156982,[],,,2,1,8x8,,0.0,{},False,,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,9.651,0.0,0.0,0.0,single,2,0
task_multi_objects_same_transform,data/task_multi_objects_same_transform.json,True,True,1.0,9.866254091262817,[],,,2,1,10x10,,0.0,{},False,,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,9.866,0.0,0.0,0.0,single,2,0
task_pattern_tile,data/task_pattern_tile.json,True,True,1.0,8.08409595489502,"['tiling', 'tiling']",tile,,2,1,2x2,tiling,1.0,"{'repetitions_horizontal': 2, 'repetitions_vertical': 2, 'tile_width': 2, 'tile_height': 2, 'coverage': 1.0}",False,tile,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,8.084,8.079,0.0,0.0,single,1,0
task_pattern_tile_3x3,data/task_pattern_tile_3x3.json,True,True,1.0,9.003501653671265,"['tiling', 'tiling']",tile,,2,1,3x3,tiling,1.0,"{'repetitions_horizontal': 3, 'repetitions_vertical': 3, 'tile_width': 3, 'tile_height': 3, 'coverage': 1.0}",False,tile,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,9.004,8.996,0.0,0.0,single,2,0
task_reflection,data/task_reflection.json,True,False,0.6666666666666666,3.905268907546997,"['reflection', 'reflection']",reflect,,2,1,6x6,reflection,1.0,"{'axis': 'horizontal', 'grid_level': True}",False,reflect,,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,3.905,3.9,0.0,0.0,single,1,0
task_rotation_90,data/task_rotation_90.json,True,True,1.0,4.25492787361145,"['composite', 'rotation', 'rotation']",translate,,2,1,7x7,composite,1.0,"{'transformations': [{'action': 'rotate', 'params': {'angle': 270}}, {'action': 'translate', 'params': {'dx': -1, 'dy': 0}}], 'description': 'rotate 270° + translate (-1, 0)'}",True,translate,direct_composite,batch_20260129_105921,llama3,2026-01-29T10:59:21.463232,1.10.0,4.255,4.244,0.001,0.001,single,1,0
