task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,primary_transformation,transformation_confidence,was_fallback_used,llm_proposed_action,fallback_reason,llm_time,detection_time,action_time,num_colors,num_objects,mode,error
task_add_border,True,True,1.0000,14.38,add_border|add_border|add_border,color_change,7x8,3,1,add_border,1.0000,True,color_change,direct_add_border,14.353,0.001,0.000,1,0,single,
task_add_border_01,True,True,1.0000,6.27,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,6.265,0.000,0.000,1,0,single,
task_add_border_02,True,True,1.0000,6.75,add_border|add_border,color_change,9x9,2,1,add_border,1.0000,True,color_change,direct_add_border,6.742,0.001,0.000,1,0,single,
task_add_border_03,True,True,1.0000,6.28,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,6.268,0.001,0.000,1,0,single,
task_blob_color_change,True,True,1.0000,6.12,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,6.104,0.001,0.000,1,0,single,
task_blob_reflection,True,True,1.0000,5.79,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,5.782,0.001,0.000,1,0,single,
task_blob_rotation,True,True,1.0000,5.82,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,5.818,0.000,0.001,1,0,single,
task_blob_translation,True,True,1.0000,7.57,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,7.565,0.000,0.000,1,0,single,
task_challenge_multi_transform,True,True,1.0000,18.32,,,10x12,2,1,,0.0000,False,,,0.000,0.000,0.000,3,0,single,
task_color_change,True,False,0.9375,10.09,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,10.075,0.002,0.000,1,0,single,
task_color_change_01,True,False,0.9375,6.11,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,6.104,0.001,0.000,1,0,single,
task_color_change_02,True,True,1.0000,6.12,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,6.111,0.000,0.000,1,0,single,
task_color_change_03,True,False,0.8333,4.74,composite|color_change|rotation|composite|color_change|rotation,color_change,6x6,2,1,composite,1.0000,True,color_change,direct_composite,4.725,0.002,0.000,1,0,single,
task_color_change_04,True,False,0.9219,6.12,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,6.112,0.003,0.000,1,0,single,
task_color_change_05,True,False,0.8125,5.94,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,5.936,0.001,0.000,1,0,single,
task_composite_01,True,True,1.0000,5.88,composite|rotation|composite|rotation,translate,8x8,2,1,composite,1.0000,True,translate,direct_composite,5.866,0.003,0.001,1,0,single,
task_composite_02,True,True,1.0000,11.33,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,11.319,0.001,0.000,1,0,single,
task_composite_rotate_translate,True,True,1.0000,5.11,composite|rotation|composite|rotation,translate,7x7,2,1,composite,1.0000,True,translate,direct_composite,5.100,0.002,0.000,1,0,single,
task_draw_line,True,True,1.0000,10.74,draw_line|draw_line|draw_line,draw_line,10x10,3,1,draw_line,1.0000,False,draw_line,,10.730,0.000,0.000,1,0,single,
task_draw_line_01,True,True,1.0000,6.51,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,6.501,0.000,0.000,1,0,single,
task_draw_line_02,True,True,1.0000,5.84,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,5.829,0.000,0.001,1,0,single,
task_draw_line_03,True,True,1.0000,6.60,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,6.593,0.000,0.000,1,0,single,
task_draw_line_04,True,True,1.0000,6.60,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,6.595,0.000,0.001,1,0,single,
task_l_shape,True,True,1.0000,7.58,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,7.575,0.001,0.000,1,0,single,
task_multi_objects,True,False,0.8750,16.93,,,8x8,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_same_transform,True,False,0.8400,12.37,,,10x10,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_pattern_tile,True,True,1.0000,10.51,tiling|tiling,tile,2x2,2,1,tiling,1.0000,False,tile,,10.503,0.000,0.000,1,0,single,
task_pattern_tile_3x3,True,True,1.0000,10.92,tiling|tiling,tile,3x3,2,1,tiling,1.0000,False,tile,,10.910,0.000,0.000,2,0,single,
task_reflection,True,True,1.0000,7.18,reflection|reflection,reflect,6x6,2,1,reflection,1.0000,False,reflect,,7.177,0.000,0.000,1,0,single,
task_reflection_01,True,True,1.0000,5.96,reflection|reflection,reflect,8x8,2,1,reflection,1.0000,False,reflect,,5.953,0.000,0.001,1,0,single,
task_reflection_02,True,False,0.9375,14.69,reflection|rotation|reflection,reflect,8x8,2,1,reflection,1.0000,False,reflect,,14.687,0.000,0.000,1,0,single,
task_reflection_03,True,True,1.0000,5.94,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,5.931,0.000,0.001,1,0,single,
task_reflection_04,True,True,1.0000,5.82,reflection|reflection,reflect,8x8,2,1,reflection,1.0000,False,reflect,,5.815,0.001,0.000,1,0,single,
task_reflection_05,True,True,1.0000,5.82,rotation|reflection,reflect,8x8,2,1,rotation,1.0000,False,reflect,,5.814,0.000,0.001,1,0,single,
task_rotation_01,True,False,0.8906,6.00,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,5.993,0.001,0.000,1,0,single,
task_rotation_02,True,True,1.0000,6.00,rotation|reflection|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,5.990,0.000,0.001,1,0,single,
task_rotation_03,True,False,0.9062,5.83,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,5.822,0.001,0.000,1,0,single,
task_rotation_04,True,False,0.8750,5.84,reflection|rotation|rotation,rotate,8x8,2,1,reflection,1.0000,False,rotate,,5.834,0.001,0.000,1,0,single,
task_rotation_05,True,True,1.0000,5.96,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,5.959,0.000,0.000,1,0,single,
task_rotation_06,True,True,1.0000,5.83,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,5.820,0.000,0.001,1,0,single,
task_rotation_90,True,True,1.0000,5.11,composite|rotation|rotation,translate,7x7,2,1,composite,1.0000,True,translate,direct_composite,5.103,0.001,0.000,1,0,single,
task_tiling_01,True,True,1.0000,8.06,tiling|tiling,tile,2x2,2,1,tiling,1.0000,False,tile,,8.048,0.000,0.000,2,0,single,
