task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,primary_transformation,transformation_confidence,was_fallback_used,llm_proposed_action,fallback_reason,llm_time,detection_time,action_time,num_colors,num_objects,mode,error
task_add_border,True,True,1.0000,7.65,add_border|add_border|add_border,color_change,7x8,3,1,add_border,1.0000,True,color_change,direct_add_border,7.632,0.001,0.001,1,0,single,
task_add_border_01,True,True,1.0000,3.79,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,3.780,0.001,0.001,1,0,single,
task_add_border_02,True,True,1.0000,5.24,add_border|add_border,color_change,9x9,2,1,add_border,1.0000,True,color_change,direct_add_border,5.227,0.001,0.000,1,0,single,
task_add_border_03,True,True,1.0000,3.45,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,3.438,0.001,0.000,1,0,single,
task_blob_color_change,True,True,1.0000,3.31,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,3.301,0.001,0.000,1,0,single,
task_blob_reflection,True,True,1.0000,3.22,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,3.209,0.001,0.000,1,0,single,
task_blob_rotation,True,True,1.0000,3.28,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,3.270,0.002,0.000,1,0,single,
task_blob_translation,True,True,1.0000,6.12,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,6.109,0.001,0.000,1,0,single,
task_challenge_multi_transform,True,True,1.0000,7.38,,,10x12,2,1,,0.0000,False,,,0.000,0.000,0.000,3,0,single,
task_color_change,True,False,0.9375,5.12,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,5.106,0.003,0.000,1,0,single,
task_color_change_01,True,False,0.9375,3.78,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,3.767,0.002,0.000,1,0,single,
task_color_change_02,True,True,1.0000,3.30,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,3.286,0.001,0.000,1,0,single,
task_color_change_03,True,False,0.8333,2.57,composite|color_change|rotation|composite|color_change|rotation,color_change,6x6,2,1,composite,1.0000,True,color_change,direct_composite,2.565,0.001,0.000,1,0,single,
task_color_change_04,True,False,0.9219,3.29,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,3.281,0.001,0.000,1,0,single,
task_color_change_05,True,False,0.8125,3.29,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,3.279,0.001,0.000,1,0,single,
task_composite_01,True,True,1.0000,4.25,composite|rotation|composite|rotation,translate,8x8,2,1,composite,1.0000,True,translate,direct_composite,4.240,0.001,0.000,1,0,single,
task_composite_02,True,True,1.0000,5.19,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,5.179,0.000,0.000,1,0,single,
task_composite_rotate_translate,True,True,1.0000,3.64,composite|rotation|composite|rotation,translate,7x7,2,1,composite,1.0000,True,translate,direct_composite,3.634,0.001,0.000,1,0,single,
task_draw_line,True,True,1.0000,5.65,draw_line|draw_line|draw_line,draw_line,10x10,3,1,draw_line,1.0000,False,draw_line,,5.646,0.000,0.000,1,0,single,
task_draw_line_01,True,True,1.0000,3.96,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,3.957,0.000,0.002,1,0,single,
task_draw_line_02,True,True,1.0000,3.45,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,3.446,0.000,0.001,1,0,single,
task_draw_line_03,True,True,1.0000,4.48,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,4.470,0.000,0.001,1,0,single,
task_draw_line_04,True,True,1.0000,5.34,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,5.336,0.000,0.000,1,0,single,
task_l_shape,True,True,1.0000,4.55,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,4.540,0.000,0.000,1,0,single,
task_multi_objects,True,False,0.7500,5.00,,,8x8,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_same_transform,True,False,0.8400,82.31,,,10x10,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_pattern_tile,True,True,1.0000,5.40,tiling|tiling,tile,2x2,2,1,tiling,1.0000,False,tile,,5.391,0.000,0.000,1,0,single,
task_pattern_tile_3x3,True,False,0.0000,6.57,tiling|tiling,composite,3x3,2,1,tiling,1.0000,False,composite,,6.562,0.000,0.000,2,0,single,
