task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,error
task_blob_color_change,True,True,1.0000,14.63,color_change|color_change,color_change,8x8,2,1,
task_blob_reflection,True,True,1.0000,8.57,reflection|reflection,reflect,8x8,2,1,
task_blob_rotation,True,True,1.0000,12.77,rotation|rotation,rotate,8x8,2,1,
task_blob_translation,True,True,1.0000,16.79,translation|translation,translate,10x10,2,1,
task_challenge_multi_transform,True,False,0.8833,21.89,rotation|rotation,translate,10x12,2,1,
task_color_change,True,True,1.0000,12.78,color_change|rotation|color_change|rotation,color_change,8x8,2,1,
task_draw_line,True,False,0.9200,27.16,draw_line|draw_line|rotation|draw_line,translate,10x10,3,1,
task_l_shape,True,True,1.0000,14.66,translation|translation,translate,10x10,2,1,
task_multi_objects,True,False,0.8750,12.46,rotation|translation|rotation|translation,translate,8x8,2,1,
task_multi_objects_same_transform,True,True,1.0000,19.73,translation|rotation|translation|rotation,translate,10x10,2,1,
task_reflection,True,False,0.7778,10.26,translation|reflection|translation|reflection,translate,6x6,2,1,
task_rotation_90,True,False,0.7959,8.77,reflection|rotation,rotate,7x7,2,1,
