task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,primary_transformation,transformation_confidence,was_fallback_used,llm_proposed_action,fallback_reason,llm_time,detection_time,action_time,num_colors,num_objects,mode,error
task_add_border,True,True,1.0000,7.99,add_border|add_border|add_border,color_change,7x8,3,1,add_border,1.0000,True,color_change,direct_add_border,7.773,0.000,0.001,1,0,single,
task_add_border_01,True,True,1.0000,4.83,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,4.827,0.000,0.000,1,0,single,
task_add_border_02,True,True,1.0000,7.35,add_border|add_border,color_change,9x9,2,1,add_border,1.0000,True,color_change,direct_add_border,7.341,0.000,0.001,1,0,single,
task_add_border_03,True,True,1.0000,3.17,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,3.161,0.000,0.000,1,0,single,
task_blob_color_change,True,True,1.0000,3.28,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,3.276,0.000,0.000,1,0,single,
task_blob_reflection,True,True,1.0000,3.21,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,3.198,0.001,0.001,1,0,single,
task_blob_rotation,True,True,1.0000,3.26,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,3.251,0.001,0.001,1,0,single,
task_blob_translation,True,True,1.0000,3.94,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,3.932,0.001,0.000,1,0,single,
task_challenge_multi_transform,True,True,1.0000,7.38,,,10x12,2,1,,0.0000,False,,,0.000,0.000,0.000,3,0,single,
task_color_change,True,False,0.9375,5.10,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,5.092,0.001,0.000,1,0,single,
task_color_change_01,True,False,0.9375,3.63,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,3.621,0.001,0.001,1,0,single,
task_color_change_02,True,True,1.0000,13.68,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,13.674,0.000,0.002,1,0,single,
task_color_change_03,True,False,0.8333,3.03,composite|color_change|rotation|composite|color_change|rotation,color_change,6x6,2,1,composite,1.0000,True,color_change,direct_composite,3.024,0.001,0.000,1,0,single,
task_color_change_04,True,False,0.9219,3.37,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,3.358,0.001,0.000,1,0,single,
task_color_change_05,True,False,0.8125,3.20,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,3.196,0.003,0.001,1,0,single,
task_composite_01,True,True,1.0000,3.31,composite|rotation|composite|rotation,translation,8x8,2,1,composite,1.0000,True,translation,direct_composite,3.297,0.002,0.000,1,0,single,
task_composite_02,True,True,1.0000,5.64,translation|translation,translate,8x8,2,1,translation,1.0000,True,,no_llm_json,5.637,0.000,0.000,1,0,single,
task_composite_rotate_translate,True,True,1.0000,3.38,composite|rotation|composite|rotation,translate,7x7,2,1,composite,1.0000,True,translate,direct_composite,3.374,0.002,0.000,1,0,single,
task_draw_line,True,True,1.0000,5.76,draw_line|draw_line|draw_line,draw_line,10x10,3,1,draw_line,1.0000,False,draw_line,,5.751,0.000,0.000,1,0,single,
task_draw_line_01,True,True,1.0000,8.70,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,8.690,0.000,0.000,1,0,single,
task_draw_line_02,True,True,1.0000,3.12,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,3.111,0.000,0.000,1,0,single,
task_draw_line_03,True,True,1.0000,3.52,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,3.513,0.000,0.000,1,0,single,
task_draw_line_04,True,True,1.0000,3.41,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,3.409,0.000,0.000,1,0,single,
task_l_shape,True,True,1.0000,4.09,translation|translation,translation,10x10,2,1,translation,1.0000,False,translation,,4.080,0.000,0.000,1,0,single,
task_multi_objects,True,False,0.7500,4.91,,,8x8,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_same_transform,True,False,0.8500,7.68,,,10x10,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_pattern_tile,True,True,1.0000,5.12,tiling|tiling,tile,2x2,2,1,tiling,1.0000,False,tile,,5.116,0.000,0.000,1,0,single,
task_pattern_tile_3x3,True,True,1.0000,5.89,tiling|tiling,tile,3x3,2,1,tiling,1.0000,False,tile,,5.887,0.000,0.000,2,0,single,
task_reflection,True,True,1.0000,2.91,reflection|reflection,reflect,6x6,2,1,reflection,1.0000,False,reflect,,2.909,0.000,0.000,1,0,single,
task_reflection_01,True,True,1.0000,23.50,reflection|reflection,reflect,8x8,2,1,reflection,1.0000,False,reflect,,23.500,0.000,0.001,1,0,single,
task_reflection_02,True,True,1.0000,3.24,reflection|rotation|reflection,reflect,8x8,2,1,reflection,1.0000,False,reflect,,3.233,0.000,0.000,1,0,single,
task_reflection_03,True,True,1.0000,3.21,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,3.195,0.001,0.000,1,0,single,
task_reflection_04,True,True,1.0000,3.23,reflection|reflection,reflection,8x8,2,1,reflection,1.0000,False,reflection,,3.217,0.001,0.000,1,0,single,
task_reflection_05,True,True,1.0000,3.21,rotation|reflection,reflect,8x8,2,1,rotation,1.0000,False,reflect,,3.208,0.000,0.000,1,0,single,
task_rotation_01,True,False,0.8906,3.24,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,3.232,0.000,0.000,1,0,single,
task_rotation_02,True,True,1.0000,3.22,rotation|reflection|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,3.220,0.000,0.000,1,0,single,
task_rotation_03,True,False,0.9062,2.98,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,2.981,0.000,0.000,1,0,single,
task_rotation_04,True,False,0.8750,3.25,reflection|rotation|rotation,rotate,8x8,2,1,reflection,1.0000,False,rotate,,3.249,0.000,0.000,1,0,single,
task_rotation_05,True,True,1.0000,5.58,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,5.568,0.001,0.000,1,0,single,
task_rotation_06,True,True,1.0000,3.91,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,3.908,0.000,0.001,1,0,single,
task_rotation_90,True,True,1.0000,2.83,composite|rotation|rotation,rotate,7x7,2,1,composite,1.0000,True,rotate,direct_composite,2.819,0.000,0.000,1,0,single,
task_tiling_01,True,True,1.0000,4.61,tiling|tiling,tile,2x2,2,1,tiling,1.0000,False,tile,,4.605,0.000,0.000,2,0,single,
task_tiling_02,True,True,1.0000,5.09,tiling|tiling,tile,3x3,2,1,tiling,1.0000,False,tile,,5.084,0.000,0.000,1,0,single,
task_tiling_03,True,True,1.0000,4.42,tiling|tiling,tile,2x3,2,1,tiling,1.0000,False,tile,,4.412,0.000,0.000,1,0,single,
task_translation_01,True,True,1.0000,3.45,translation|rotation|translation|rotation,translate,8x8,2,1,translation,1.0000,False,translate,,3.439,0.000,0.000,1,0,single,
task_translation_02,True,True,1.0000,7.35,translation|rotation|reflection,translate,8x8,2,1,translation,1.0000,False,translate,,7.339,0.000,0.000,1,0,single,
task_translation_03,True,True,1.0000,3.00,translation|rotation|translation|rotation,translate,8x8,2,1,translation,1.0000,False,translate,,2.993,0.000,0.000,1,0,single,
task_translation_04,True,True,1.0000,3.76,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,3.752,0.001,0.000,1,0,single,
task_translation_05,True,True,1.0000,11.92,translation|rotation|translation|rotation,translate,6x6,2,1,translation,1.0000,True,,no_llm_json,11.916,0.000,0.000,1,0,single,
task_translation_06,True,True,1.0000,7.40,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,7.393,0.000,0.000,1,0,single,
task_translation_07,True,True,1.0000,4.28,translation|translation,translation,8x8,2,1,translation,1.0000,False,translation,,4.270,0.000,0.000,1,0,single,
task_translation_08,True,True,1.0000,10.35,translation|rotation|translation|rotation,translate,7x7,2,1,translation,1.0000,False,translate,,10.336,0.001,0.000,1,0,single,
